"ID","nomArch","coteArch","dateEntree","nature","modeEntree","servProd","typeProd","activiteProd","descContenu","natureSupport","mlEntree","nbreArt","dateYear"
761,"Archives municipales d'Avignon","1185W","30/01/2014","Archives publiques","Versement",NA,NA,"Voirie circulation","28 articles de fonctionnement (2002-2012)","Support papier","0",28,"2014"
762,"Archives municipales d'Avignon","1186W","06/02/2014","Archives publiques","Versement",NA,NA,"Garage municipal","75 articles (2001-2013)","Support papier","0",75,"2014"
763,"Archives municipales d'Avignon","65Z","05/02/2014","Archives privées","Duplication",NA,NA,"Famille Amic-Sénac","Fichiers numériques (voir observations)","Support papier","0",0,"2014"
764,"Archives municipales d'Avignon","81Z","18/02/2014","Archives privées","Don",NA,NA,"Famille Burdin","Une quinzaine de lettres et cartes postales de son grand-père, Avignonnais, disparu (tué à l’ennemi) le 23 juin 1915. Une photo de son grand père avant la guerre. D’autres documents ou imprimés d’autres périodes…","Support papier","0",0,"2014"
765,"Archives municipales d'Avignon","1187W","25/02/2014","Archives publiques","Versement",NA,NA,"Mission prévention sécurité","19 articles (1999-2009) + rajouts en vrac et en boites.","Support papier","2,3",19,"2014"
766,"Archives municipales d'Avignon","11Fi216","14/01/2014","Archives privées","Don",NA,NA,"Photographie,1883","Tirage contrecollé sur carton représentant l'inspection générale du 1er régiment d'artillerie pontonniers en 1883 (format 34x48cm).","Support papier","0,01",1,"2014"
767,"Archives municipales d'Avignon","4Fi14","18/11/2013","Archives privées","Achat",NA,NA,"Carte d'Avignon et du Comtat-Venaissin, XVIIème siècle","Carte d'Avignon et du Comtat-Venaissin, XVIIème siècle. Page 105 d'un ouvrage allemand de la fin du XVIème ou du début du XVIIème siècle (format 18x22 cm).","Support papier","0,01",1,"2013"
768,"Archives municipales d'Avignon","2Fi140","12/02/2014","Archives privées","Achat",NA,NA,"Gravure d'Avignon","Gravure représentant une vue du pont d'Avignon depuis le Rocher des Doms. Gravure romantique anglaise de JH Kernot (format (12,5x16,5 cm).","Support papier","0,01",1,"2014"
769,"Archives municipales d'Avignon","1188W","27/02/2014","Archives publiques","Versement",NA,NA,"Secrétariat général","6 articles d'arrêtés du maire (2004).","Support papier","0,9",6,"2014"
770,"Archives municipales d'Avignon","8Fi","07/05/2013","Archives privées","Achat",NA,NA,"6 Albums de photographies","6 Albums de photographies XIXème et XXème siècles.","Support mixte","0,5",6,"2013"
