"ID","nomArch","coteArch","dateEntree","nature","modeEntree","servProd","typeProd","activiteProd","descContenu","natureSupport","mlEntree","nbreArt","dateYear"
1,"Archives municipales d'Avignon","722W","21/01/2003","Archives publiques","Versement",NA,NA,"Patrimoine historique","Dossiers expositions, journées du Patrimoine, dossiers divers, mémoires, correspondance, budgets, délibérations, chrono courrier départ et arrivée. Photos : 19 pochettes+ fiches bristol, 1 pochette (13 tirages 24x36), photos fouilles Balance, cloître des Carmes, musée Calvet.","Support papier","7,5",57,"2003"
2,"Archives municipales d'Avignon","1E","22/01/2003","Archives publiques","Versement",NA,NA,"Etat-civil","Registres et tables décennales naissances, mariages, décès année 1902.","Support papier","0,5",6,"2003"
3,"Archives municipales d'Avignon","HSM","22/01/2003","Archives publiques","Versement",NA,NA,"Centre hospitalier Henri Duffaut","Correspondance à intégrer dans le dossier de Madame ROGALSKI Véronique épouse RUYSSEN (K342)","Support papier","0,01",1,"2003"
4,"Archives municipales d'Avignon","W","23/01/2003","Archives publiques","Versement",NA,NA,"Aménagement urbain","Copie de l'étude historique, de l'étude de réhabilitation et du schéma directeur d'aménagement, dossier bureau.","Support papier","0,1",1,"2003"
5,"Archives municipales d'Avignon","724W","07/02/2003","Archives publiques","Versement",NA,NA,"Action économique","Archives du service supprimé","Support papier","20",40,"2003"
6,"Archives municipales d'Avignon","725W","07/02/2003","Archives publiques","Versement",NA,NA,"Tourisme","Archives du service supprimé","Support papier","17,2",22,"2003"
7,"Archives municipales d'Avignon","69Z","07/02/2003","Archives privées","Dépôt",NA,NA,"SYCOVIA","Archives du syndicat avant dissolution","Support papier","2,4",4,"2003"
8,"Archives municipales d'Avignon","726W","13/02/2003","Archives publiques","Versement",NA,NA,"Aménagement urbain","Dossiers M. DUBUY (16) ; Cartons M. MIRA (4) ; Dossiers Rocade DDE (10) ; Dossiers enquête TGV ; Panneaux et maquettes M. ALLARD, dossiers varia M. MALACHANE ; Photos expositions SAU.","Support papier","18",70,"2003"
9,"Archives municipales d'Avignon","727W","13/02/2003","Archives publiques","Versement",NA,NA,"Voirie circulation","18 articles versés par le bureau de la règlementation : arrêtés de travaux, de manifestation, d'autorisation.","Support papier","1,8",18,"2003"
10,"Archives municipales d'Avignon","728W","13/02/2003","Archives publiques","Versement",NA,NA,"Voirie circulation","19 articles d'arrêtés de stationnement et de circulation ; 4 articles d'autorisations d'occupation du domaine public.","Support mixte","2,3",23,"2003"
11,"Archives municipales d'Avignon","729W","24/02/2003","Archives publiques","Versement",NA,NA,"Affaires générales et militaires","Plis d'huissiers, civil n° 1899 à 6036. Plis d'huissier, pénal n° 313 à 982 (Avril à octobre 2002)","Support papier","4,2",9,"2003"
12,"Archives municipales d'Avignon","2R","15/02/2003","Archives publiques","Versement",NA,NA,"Musée Calvet","Correspondance (25 chemises) ; Comptabilité (7 chemises) ; Dossiers divers (16 chemises).","Support papier","5,2",48,"2003"
13,"Archives municipales d'Avignon","97Fi, 102Fi","03/03/2003",NA,"Achat",NA,NA,"Fonds Sylvain Gagnière","Gravures d'imprimeurs, images pieuses et photographies","Support papier","0,5",250,"2003"
14,"Archives municipales d'Avignon","98Fi","03/03/2003",NA,"Don",NA,NA,"Fonds Jacques Michel","Panneaux d'exposition sur ""Les Suisses""","Support papier","1",50,"2003"
15,"Archives municipales d'Avignon","9Fi","11/03/2003",NA,"Achat",NA,NA,"Collection Chavasse","Cartes postales et photographies sur Avignon","Support papier","0,1",97,"2003"
16,"Archives municipales d'Avignon","9Fi105-115","18/03/2003",NA,"Achat",NA,NA,"Cartes postales","Cartes postales Festival d'Avignon","Support papier","0",11,"2003"
17,"Archives municipales d'Avignon","730W","27/03/2003","Archives publiques","Versement",NA,NA,"Secrétariat général","11 articles listes courrier enregistré.","Support papier","1,1",11,"2003"
18,"Archives municipales d'Avignon","731W","27/03/2003","Archives publiques","Versement",NA,NA,"Secrétariat général","1 article enregistrement permis de conduire et envois recommandés, 1 article agendas, 1 article affranchissement, 1 article fournitures, 1 article habillement, 1 article frais d'entretien.","Support papier","0,7",7,"2003"
19,"Archives municipales d'Avignon","72Z","01/04/2003","Archives privées","Achat",NA,NA,"Papiers de l'avocat Liotard","Pièces de procédures diverses et variées, correspondance (début XIXe siècle).","Support papier","0,6",7,"2003"
20,"Archives municipales d'Avignon","Z","01/04/2003","Archives privées","Achat",NA,NA,"Etude sur les Monts de Vaucluse","2 cahiers ronéotés : 1 cahier pour les textes, 1 cahier pour les figures (2 pièces)","Support mixte","0,05",2,"2003"
21,"Archives municipales d'Avignon","101Fi","01/04/2003","Archives privées","Achat",NA,NA,"Lot de vues stéréoscopiques et grandes cartes de visite","212 clichés positifs sur papier touchant à : Moyen-Orient, France, Midi, Paris et scènes sociales diverses.","Support papier","0,1",228,"2003"
22,"Archives municipales d'Avignon","8fi","01/04/2003","Archives privées","Achat",NA,NA,"Album photographique","Album sur l'hôtel Dominion détruit en 1944 dressé en vue des dommages de guerre. L'auteur est G. Lallement, Architecte DEPT, Avignon.","Support papier","0",1,"2003"
23,"Archives municipales d'Avignon","Fi","03/04/2003","Archives privées","Don",NA,NA,"Illustrations","2 projets d'illustrations (Bicentenaire 1989), 2 maquettes d'affichette électorale (Henri Duffaut).","Support papier","0,05",4,"2003"
24,"Archives municipales d'Avignon","Z","03/04/2003","Archives privées","Dépôt",NA,NA,"Association au soutien de l'enseignement du droit","Registre de comptabilité de l'association avec conventions, bilans et actes de dissolution (1985-1995)","Support papier","0,05",1,"2003"
25,"Archives municipales d'Avignon","732W","10/04/2003","Archives publiques","Versement",NA,NA,"Secrétariat général","18 chemises à sangles séances du Conseil Municipal de janvier à décembre 1999, 1 registre années 1990 à 1994.","Support papier","1,9",19,"2003"
26,"Archives municipales d'Avignon","1Per 289","07/05/2003","Archives privées","Achat",NA,NA,"Périodique","Journal Le Ventoux (1882-1934)","Support papier","0,3",13,"2003"
27,"Archives municipales d'Avignon","1Per 290","07/05/2003","Archives privées","Don",NA,NA,"Périodique","Journal le Dauphiné (1949 et 1974)","Support papier","0,1",2,"2003"
28,"Archives municipales d'Avignon","53Fi","07/05/2003","Archives publiques","Réintégration",NA,NA,"Plans municipaux","1 Plan de 1926. 3 Plans du Bureau de l'Hygiène sur la mortalité avignonnaise (1883-1893). 16 plans d'alignement et d'urbanisme du XIXe siècle.","Support mixte","0,1",20,"2003"
29,"Archives municipales d'Avignon","1Per 291","15/05/2003","Archives privées","Don",NA,NA,"Périodique","Le Méridional (1966 -1980)","Support papier","5",101,"2003"
30,"Archives municipales d'Avignon","733W","26/05/2003","Archives publiques","Versement",NA,NA,"Aménagement urbain","12 cartons","Support papier","7,2",72,"2003"
31,"Archives municipales d'Avignon","734W","26/05/2003","Archives publiques","Versement",NA,NA,"Financiers","11 cartons de 0,60 ml","Support électronique","6,6",11,"2003"
32,"Archives municipales d'Avignon","735W","05/06/2003","Archives publiques","Versement",NA,NA,"Cabinet Yves Duverger","33 articles concernant la précédente délégation de Monsieur DUVERGER (1995-2001).","Support électronique","3,3",28,"2003"
33,"Archives municipales d'Avignon","736W","05/06/2003","Archives publiques","Versement",NA,NA,"Voirie","232 articles concernant la voirie, l'assainissement (archives de M. MIGNON, directeur du service) ; chronos du service de 1982 à 1999 ; vrac des dossiers suivis par le Directeur","Support papier","35",277,"2003"
34,"Archives municipales d'Avignon","M","03/07/2003","Archives publiques","Réintégration",NA,NA,"Concours pour la construction de l'Hôtel de Ville","Document imprimé sur le concours de l'Hotel de Ville (1836)","Support papier","0,05",1,"2003"
35,"Archives municipales d'Avignon","739W","21/07/2003","Archives publiques","Versement",NA,NA,"Eau et assainissement","43 articles concernant les réseaux d'eau potable, d'eaux usées, l'assainissement, les travaux etc...","Support papier","6,5",43,"2003"
36,"Archives municipales d'Avignon","737W","11/07/2003","Archives publiques","Versement",NA,NA,"Commande publique","Candidatures et offres non retenues","Support papier","7",63,"2003"
37,"Archives municipales d'Avignon","738W","11/07/2003","Archives publiques","Versement",NA,NA,"Commande publique","Marchés soldés, négociés...","Support papier","13",66,"2003"
38,"Archives municipales d'Avignon","721W","11/07/2003","Archives publiques","Versement",NA,NA,"Architecture patrimoine historique",NA,"Support papier","12,5",125,"2003"
39,"Archives municipales d'Avignon","Série O","21/07/2003","Archives publiques","Réintégration",NA,NA,"Eau et assainissement",NA,"Support papier","3,2",28,"2003"
40,"Archives municipales d'Avignon","740W","06/08/2003","Archives publiques","Versement",NA,NA,"Personnel-gestion","Cellule 1 : dossiers individuels, ordre de mission, supplément familial, accidents de service, bulletins de salaire 1999.","Support papier","7,3",73,"2003"
41,"Archives municipales d'Avignon","741W","06/08/2003","Archives publiques","Versement",NA,NA,"Personnel-gestion","Cellule 2 : dossiers individuels, accidents de travail, supplément familial, éléments de paie","Support papier","6",60,"2003"
42,"Archives municipales d'Avignon","742W","29/07/2003","Archives publiques","Versement",NA,NA,"Secrétariat général","48 registres d'arrêtés du Maire","Support papier","2,4",48,"2003"
43,"Archives municipales d'Avignon","743W","11/07/2003","Archives publiques","Versement",NA,NA,"Affaires générales et militaires","Plis d'huissier janvier à décembre 2003","Support papier","2,5",5,"2003"
44,"Archives municipales d'Avignon","744W","11/07/2003","Archives publiques","Versement",NA,NA,"Affaires générales et militaires","Plis d'huissier 2002","Support papier","1",2,"2003"
45,"Archives municipales d'Avignon","745W","18/07/2003","Archives publiques","Versement",NA,NA,"Direction générale des services techniques","Dossiers personnel, courrier, commission d'appel d'offres, CAP, dossiers divers.","Support papier","1,7",17,"2003"
46,"Archives municipales d'Avignon","746W","22/07/2003","Archives publiques","Versement",NA,NA,"Architecture patrimoine historique","Réhabilitation du musée Calvet","Support papier","3",22,"2003"
47,"Archives municipales d'Avignon","747W","22/07/2003","Archives publiques","Versement",NA,NA,"Technologies de l'information et de la communication","Progiciel de gestion financière","Support papier","0,3",3,"2003"
48,"Archives municipales d'Avignon","748W","22/07/2003","Archives publiques","Versement",NA,NA,"Aménagement urbain","Plan d'occupation des sols (1998-2001)","Support papier","1,2",8,"2003"
49,"Archives municipales d'Avignon","749W","13/10/2003","Archives publiques","Versement",NA,NA,"Direction générale des services techniques","Dossiers de suivi des affaires par M. DUBUY","Support papier","1",7,"2003"
50,"Archives municipales d'Avignon","100Fi","25/09/2003","Archives privées","Achat",NA,NA,"Fonds N'Guyen","300 plaques de verre","Support papier","0",300,"2003"
51,"Archives municipales d'Avignon","752W","07/10/2003","Archives publiques","Versement",NA,NA,"Financiers","Marchés d'investissement","Support papier","16",160,"2003"
52,"Archives municipales d'Avignon","753W","13/10/2003","Archives publiques","Versement",NA,NA,"Direction générale","Dossiers traités par M. CAMARASA","Support papier","1",2,"2003"
53,"Archives municipales d'Avignon","754W","16/10/2003","Archives publiques","Versement",NA,NA,"Mission prévention sécurité","45 articles concernant le conseil communal de prévention de la délinquance + cassettes audio.","Support papier","5",45,"2003"
54,"Archives municipales d'Avignon","755W","17/10/2003","Archives publiques","Versement",NA,NA,"Communication","Archives internet et canal A","Support papier","0,3",1,"2003"
55,"Archives municipales d'Avignon","Fi","20/10/2003","Archives privées","Achat",NA,NA,"Fonds XXXX",NA,"Support électronique","0,01",1,"2003"
56,"Archives municipales d'Avignon","10Fi","23/10/2003","Archives privées","Achat",NA,NA,"Photographie du Rhône (1891)","Cliché de Carlos Braun avec grande déchirure au centre.","Support mixte","0",1,"2003"
57,"Archives municipales d'Avignon","11Fi","23/10/2003","Archives privées","Achat",NA,NA,"Photographie de la Fontaine de Vaucluse","Cliché de Florent Miesienski (34x43)","Support papier","0",1,"2003"
58,"Archives municipales d'Avignon","10AV","07/11/2003","Archives privées","Don",NA,NA,"Fonséca","37 cassettes audio des conférences de Fonséca pour l'année 2003","Support papier","0,5",37,"2003"
59,"Archives municipales d'Avignon","104Fi et 39Z","09/02/2004","Archives privées","Achat",NA,NA,"Fonds de l'architecte Louis Valentin","Plans, pièces écrites d'architecture.","Support papier","3",0,"2004"
60,"Archives municipales d'Avignon","Fi","17/12/2003","Archives privées","Don",NA,NA,"Fonds Rullière-Libeccio","Typons d'imprimerie","Support papier","15",50,"2003"
61,"Archives municipales d'Avignon","757W","08/01/2004","Archives publiques","Versement",NA,NA,"Direction administrative des services techniques","articles du secrétariat de la DAST (Michèle ESCRIVA)","Support papier","6,3",63,"2004"
62,"Archives municipales d'Avignon","758W","08/01/2004","Archives publiques","Versement",NA,NA,"Direction administrative des services techniques","4 articles du secrétariat des services techniques (commissions de sécurité)","Support papier","0,8",4,"2004"
63,"Archives municipales d'Avignon","759W","08/01/2004","Archives publiques","Versement",NA,NA,"Direction administrative des services techniques","19 articles versés par Patricia DE VALETTE","Support papier","1,9",19,"2004"
64,"Archives municipales d'Avignon","723W","12/02/2003","Archives publiques","Versement",NA,NA,"Direction administrative des services techniques","Commissions de sécurité et courrier chrono","Support papier","0,9",9,"2003"
65,"Archives municipales d'Avignon","10Fi21-32","09/01/2003","Archives privées","Achat",NA,NA,"Fonds Falanga","Photographies","Support papier","0,05",12,"2003"
66,"Archives municipales d'Avignon","756W","14/01/2004","Archives publiques","Versement",NA,NA,"Affaires générales et militaires","Plis d'huissiers 2003 (avril à septembre)","Support papier","3,5",7,"2004"
67,"Archives municipales d'Avignon","760W","08/01/2004","Archives publiques","Versement",NA,NA,"Direction administrative des services techniques","25 articles éliminables : fiches TEC, notes de service.","Support papier","2,5",25,"2004"
68,"Archives municipales d'Avignon","761W","14/01/2004","Archives publiques","Versement",NA,NA,"Hygiène","43 articles éliminables : permis de construire, déclarations de travaux (doubles des dossiers du service de l'urbanisme).","Support papier","4,3",43,"2004"
69,"Archives municipales d'Avignon","762W","14/01/2004","Archives publiques","Versement",NA,NA,"Protocole","9 articles de documents éliminables (factures de fonctionnement)","Support papier","0,9",9,"2004"
70,"Archives municipales d'Avignon","763W","14/01/2004","Archives publiques","Versement",NA,NA,"Foncier","41 articles de DIA (2002)","Support papier","4,2",42,"2004"
71,"Archives municipales d'Avignon","764W","14/01/2004","Archives publiques","Versement",NA,NA,"Foncier","2 articles : factures.","Support papier","0,2",2,"2004"
72,"Archives municipales d'Avignon","765W","14/01/2004","Archives publiques","Versement",NA,NA,"Personnel-carrières","6 articles courrier chrono départ (2001-2002)","Support papier","0,6",6,"2004"
73,"Archives municipales d'Avignon","766W","14/01/2004","Archives publiques","Versement",NA,NA,"Personnel-carrières","8 articles concernant les CAP (2000-2001), 2 articles de listes nominatives des effectifs (2001)","Support papier","1",10,"2004"
74,"Archives municipales d'Avignon","776W","08/04/2004","Archives publiques","Versement",NA,NA,"Hygiène","15 dossiers (fond d'armoires)","Support papier","1,5",15,"2004"
75,"Archives municipales d'Avignon","27Z","09/04/2004","Archives publiques","Versement",NA,NA,"Cabinet Michel Chirinian","1 dossier Festival 2003 (annulation, articles problèmes intermittents)","Support papier","0,15",1,"2004"
76,"Archives municipales d'Avignon","777W","04/05/2004","Archives publiques","Versement",NA,NA,"Opéra","1 carton contenant les contrats des spectacles et la location des partitions (1992-2002) ; 1 carton contenant les BP, reports de frais de fonctionnement, bordereaux-mandats, virements crédits (1998-2003)","Support papier","2",2,"2004"
77,"Archives municipales d'Avignon","778W","04/05/2004","Archives publiques","Versement",NA,NA,"Opéra","4 cartons contenant des bons de commande et des factures de fonctionnement (1994-2001) (documents éliminables à 5 ans)","Support papier","4",4,"2004"
78,"Archives municipales d'Avignon","779W","26/04/2004","Archives publiques","Versement",NA,NA,"Aménagement urbain","Dossiers de la réhabilitation de la Balance, dossiers de la ZUP Avignon sud.","Support papier","5",46,"2004"
79,"Archives municipales d'Avignon","773W","04/05/2004","Archives publiques","Versement",NA,NA,"Hygiène","11articles éliminables : chronos et fournitures de produits pharmaceutiques aux écoles.","Support papier","1,1",11,"2004"
80,"Archives municipales d'Avignon","774W","04/05/2004","Archives publiques","Versement",NA,NA,"Direction générale des services techniques","5 articles dossiers de suivi d'affaires, 2 articles chrono 1998.","Support papier","0,7",7,"2004"
81,"Archives municipales d'Avignon","775W","04/05/2004","Archives publiques","Versement",NA,NA,"Direction générale des services techniques","6 articles chronos départ 1996-1999.","Support papier","0,6",6,"2004"
82,"Archives municipales d'Avignon","781W","04/05/2004","Archives publiques","Versement",NA,NA,"Secrétariat général","5 articles factures et bordereaux d'envoi.","Support papier","0,5",5,"2004"
83,"Archives municipales d'Avignon","780W","04/05/2004","Archives publiques","Versement",NA,NA,"Secrétariat général","7 articles listes enregistrement courrier et certificats d'affichage 2002-2003.","Support papier","0,7",7,"2004"
84,"Archives municipales d'Avignon","768W","04/05/2004","Archives publiques","Versement",NA,NA,"Personnel-gestion","Documents éliminables, cellule 1 : 14 articles éléments variables de paie, contrat maintien de salaire, supplément familial (2002)","Support papier","1,4",14,"2004"
85,"Archives municipales d'Avignon","769W","04/05/2004","Archives publiques","Versement",NA,NA,"Personnel-gestion","Documents éliminables, cellule 2 : 19 articles éléments variables de paie, contrat maintien de salaire, supplément familial de traitement (2002).","Support papier","1,9",19,"2004"
86,"Archives municipales d'Avignon","770W","04/05/2004","Archives publiques","Versement",NA,NA,"Personnel-gestion","Documents à conserver, cellule 1 : 28 articles dossiers individuels et dossiers accidents de travail (2002).","Support papier","2,8",28,"2004"
87,"Archives municipales d'Avignon","771W","04/05/2004","Archives publiques","Versement",NA,NA,"Personnel-gestion","Documents à conserver, cellule 2 : 107 articles dossiers individuels, dossiers accidents de travail, bulletins de salaire (2000-2002).","Support mixte","11",107,"2004"
88,"Archives municipales d'Avignon","62Z","17/05/2004","Archives privées","Dépôt",NA,NA,"Conseil Culturel","Documentation du conseil culturel (Yvon Javel) concernant le Festival et diverses manifestations","Support papier","0,9",8,"2004"
89,"Archives municipales d'Avignon","103Fi","17/05/2004","Archives privées","Dépôt",NA,NA,"Conseil Culturel","Festival et Expositions : Environ 10000 photographies.","Support papier","0,6",174,"2004"
90,"Archives municipales d'Avignon","784W","10/06/2004","Archives publiques","Versement",NA,NA,"Personnel-gestion","Versement dossiers du personnel (gestion des non titulaires) + éléments variables de paie","Support papier","11,5",175,"2004"
91,"Archives municipales d'Avignon","782W","23/06/2004","Archives publiques","Versement",NA,NA,"Technologies de l'information et de la communication","45 articles de chronos et de dossiers de mise en oeuvre et de suivi de l'informatisation des services municipaux.","Support papier","7",0,"2004"
92,"Archives municipales d'Avignon","Fi","30/06/2004","Archives privées","Achat",NA,NA,"Fonds Sainte-Anne","2 tableaux collage des détenus de la prison Sainte-Anne","Support papier","0,2",2,"2004"
93,"Archives municipales d'Avignon","783W","06/07/2004","Archives publiques","Versement",NA,NA,"Contentieux","25 boites d'affaires contentieuses","Support papier","5",25,"2004"
94,"Archives municipales d'Avignon","786W","04/08/2004","Archives publiques","Versement",NA,NA,"Secrétariat général","18 chemises contenant les dossiers de séances du conseil municipal de 2000.","Support papier","1,8",18,"2004"
95,"Archives municipales d'Avignon","791W","15/09/2004","Archives publiques","Versement",NA,NA,"Action culturelle","Subventions aux associations, Avignon 2000, divers établissements culturels de la ville, correspondance.","Support papier","6,8",68,"2004"
96,"Archives municipales d'Avignon","787W","17/09/2004","Archives publiques","Versement",NA,NA,"Affaires générales et militaires","6 cartons de plis d'huissiers civil et pénal (septembre à décembre 2003)","Support papier","2,9",15,"2004"
97,"Archives municipales d'Avignon","788W","17/09/2004","Archives publiques","Versement",NA,NA,"Voirie travaux neufs","56 dossiers de travaux (1964-2002)","Support papier","5,6",56,"2004"
98,"Archives municipales d'Avignon","789W","17/09/2004","Archives publiques","Versement",NA,NA,"Affaires générales et militaires","7 cartons de plis d'huissiers civil et pénal (janvier à juin 2004)","Support papier","4",7,"2004"
99,"Archives municipales d'Avignon","790W","17/09/2004","Archives publiques","Versement",NA,NA,"Jumelages","78 articles concernant diverses manifestations et le fonctionnement du service","Support papier","7,8",78,"2004"
100,"Archives municipales d'Avignon","64 Z","29/10/2003","Archives privées","Achat",NA,NA,"Fonds Mathon, professeur à l'Ecole Normale d'Avignon.","Correspondance, photographie de Henri Fabre, plâtre du même par Félix Charpentier.","Support papier","1",50,"2003"
101,"Archives municipales d'Avignon","796W","03/11/2004","Archives publiques","Versement",NA,NA,"Direction générale des services techniques","19 articles contenant les dossiers du personnel des services techniques","Support papier","1,9",19,"2004"
102,"Archives municipales d'Avignon","794W","03/11/2004","Archives publiques","Versement",NA,NA,"Direction générale des services techniques","24 articles de dossiers d'affaires suivies par M. DUBUY","Support mixte","2,4",24,"2004"
103,"Archives municipales d'Avignon","792W","03/11/2004","Archives publiques","Versement",NA,NA,"Cabinet du Maire","20 articles de suivi des affaires par le Chef de Cabinet Robert RADICE","Support papier","2",20,"2004"
104,"Archives municipales d'Avignon","10AV","03/11/2004","Archives privées","Dépôt",NA,NA,"Fonséca","44 cassettes audio des conférences de l'association pour l'année 2003-2004. (octobre 2003 à mai 2004)","Support papier","0,7",44,"2004"
105,"Archives municipales d'Avignon","795W","08/11/2004","Archives publiques","Versement",NA,NA,"Cabinet Yves Duverger","suivi des affaires par l'adjoint + vrac.","Support papier","10",0,"2004"
106,"Archives municipales d'Avignon","797W","09/11/2004","Archives publiques","Versement",NA,NA,"Voirie circulation","20 articles d'arrêtés municipaux (2002)","Support papier","2",20,"2004"
107,"Archives municipales d'Avignon","Fi","16/11/2004","Archives privées","Achat",NA,NA,"Photographies","Photographies de la libération de Paris et famille Santoni (Avignon et Corse).","Support papier","0,05",100,"2004"
108,"Archives municipales d'Avignon","8Fi","15/11/2004","Archives privées","Achat",NA,NA,"Albums de photographies","Deux albums de portraits en cartes de visite. Un album du languedoc et de l'Afrique du Nord","Support papier","0,3",3,"2004"
109,"Archives municipales d'Avignon","Fi","15/11/2004","Archives privées","Achat",NA,NA,"Photographies","Tirages positifs divers","Support papier","0,05",6,"2004"
110,"Archives municipales d'Avignon","793W","02/12/2004","Archives publiques","Versement",NA,NA,"Commande publique","51 articles marchés","Support papier","8,1",51,"2004"
111,"Archives municipales d'Avignon","798W","02/12/2004","Archives publiques","Versement",NA,NA,"Direction administrative des services techniques","7 articles chronos et commissions de sécurité","Support papier","0,8",7,"2004"
112,"Archives municipales d'Avignon","750W","19/09/2003","Archives publiques","Versement",NA,NA,"Personnel-gestion","14 articles concernant la gestion de la paie 2001 titulaires cellule 1","Support papier","1,3",14,"2003"
113,"Archives municipales d'Avignon","751W","06/08/2003","Archives publiques","Versement",NA,NA,"Personnel-gestion","15 articles concernant la gestion de la paie des titulaires cellule 2 pour l'année 2001","Support papier","1,5",15,"2003"
114,"Archives municipales d'Avignon","106 Fi","10/12/2004","Archives publiques","Achat",NA,NA,"Fonds Henri Revoil, architecte","plans, esquisses aquarellées de monuments religieux : églises, chapelles Midi de la France. A noter :  portrait d'Henri Revoil jeune, ""fait dans l'atelier de David par Mr Ingre"" (photo).","Support papier","0,1",96,"2004"
115,"Archives municipales d'Avignon","800W","15/12/2004","Archives publiques","Versement",NA,NA,"Foncier","42 articles de DIA","Support papier","4,2",42,"2004"
116,"Archives municipales d'Avignon","799W","07/12/2004","Archives publiques","Versement",NA,NA,"Personnel-carrières","Registres des arrêtés du Maire concernant le personnel municipal","Support papier","3",57,"2004"
117,"Archives municipales d'Avignon","803W","30/12/2004","Archives publiques","Versement",NA,NA,"Archives municipales","12 articles chrono courrier 2003-2004.","Support papier","1,4",12,"2004"
118,"Archives municipales d'Avignon","801W","05/01/2005","Archives publiques","Versement",NA,NA,"Centre de vacances et de loisirs","24 articles divers centres aérés et colonies de 1972 à 2000, 3 articles de photos des colonies de Villard de Lans et de Boulouris.","Support papier","2,2",24,"2005"
119,"Archives municipales d'Avignon","802W","10/01/2005","Archives publiques","Versement",NA,NA,"Centre de vacances et de loisirs","28 articles éliminables à la source (1997-2003)","Support mixte","2,8",28,"2005"
120,"Archives municipales d'Avignon","806W","18/01/2005","Archives publiques","Versement",NA,NA,"Voirie circulation","22 articles d'arrêtés du bureau circulation-règlementation","Support papier","2,2",22,"2005"
121,"Archives municipales d'Avignon","807W","19/01/2005","Archives publiques","Versement",NA,NA,"Bibliothèques","correspondance, chronos (Echant 3 et 8), dossiers expos, statistiques","Support papier","3,9",38,"2005"
122,"Archives municipales d'Avignon","808W","19/01/2005","Archives publiques","Versement",NA,NA,"Bibliothèques","factures, chronos, budgets, dossiers ancien personnel : articles éliminables à la source","Support papier","10",20,"2005"
123,"Archives municipales d'Avignon","809W","26/01/2005","Archives publiques","Versement",NA,NA,"Foncier","20 articles de taxes sur la publicité et taxes de séjour","Support papier","2",20,"2005"
124,"Archives municipales d'Avignon","65Z","01/02/2005","Archives publiques","Versement",NA,NA,"Agence de développement social urbain","Chronos courrier (années 3 et 8) ; Dossiers demandes de subventions (années 3 et 8) ; Dossiers divers sur les actions de l'ADSU ; Documentation ; Archives de Denis CHASTANIER (ancien Directeur DSU).","Support papier","7,5",66,"2005"
125,"Archives municipales d'Avignon","810W","02/02/2005","Archives publiques","Versement",NA,NA,"Direction générale","17 articles de dossiers suivis par la Direction","Support papier","1,8",17,"2005"
126,"Archives municipales d'Avignon","814 W","09/02/2005","Archives publiques","Versement",NA,NA,"Hygiène","Chrono départ et arrivée 1999, documents éliminables.","Support papier","1",10,"2005"
127,"Archives municipales d'Avignon","811W","09/02/2005","Archives publiques","Versement",NA,NA,"Elections","28 registres de listes électorales de1985 à 1989.","Support papier","1,4",28,"2005"
128,"Archives municipales d'Avignon","815W","11/02/2005","Archives publiques","Versement",NA,NA,"Hygiène","Chrono départ et arrivée 1998.","Support papier","1,1",11,"2005"
129,"Archives municipales d'Avignon","812W","15/02/2005","Archives publiques","Versement",NA,NA,"Régies municipales","dossiers terrasses, registres secteurs","Support papier","1,5",15,"2005"
130,"Archives municipales d'Avignon","813W","15/02/2005","Archives publiques","Versement",NA,NA,"Régies municipales","Factures, titres de recette, arrêtés","Support électronique","19,3",193,"2005"
131,"Archives municipales d'Avignon","804W","16/02/2005","Archives publiques","Versement",NA,NA,"Financiers","Comptabilité générale. Comptabilité des opérations d'aménagement.","Support papier","1,2",12,"2005"
132,"Archives municipales d'Avignon","805W","16/02/2005","Archives publiques","Versement",NA,NA,"Financiers","Articles éliminables du 804W","Support papier","18,3",56,"2005"
133,"Archives municipales d'Avignon","816W","24/02/2005","Archives publiques","Versement",NA,NA,"Aménagement urbain","Permis de construire, certificats d'urbanisme, permis de démolir, déclarations de travaux (1997-2000).","Support papier","12",60,"2005"
134,"Archives municipales d'Avignon","817W","05/10/2003","Archives publiques","Versement",NA,NA,"Eau et assainissement","45 articles concernant la réalisation de la station d'épuration  et les collecteurs (rentrés le 15/10/2003).","Support électronique","9",45,"2003"
135,"Archives municipales d'Avignon","818W","09/03/2005","Archives publiques","Versement",NA,NA,"Hygiène","15 articles de doubles des permis de construire et des déclarations de travaux (1999-2001).","Support papier","1,5",15,"2005"
136,"Archives municipales d'Avignon","819 W","10/03/2005","Archives publiques","Versement",NA,NA,"Musée Calvet","Correspondance, expositions.","Support mixte","13",137,"2005"
137,"Archives municipales d'Avignon","820W","11/03/2005","Archives publiques","Versement",NA,NA,"Secrétariat général","6 articles de listes d'enregistrement du courrier 2004.","Support papier","0,6",6,"2005"
138,"Archives municipales d'Avignon","821W","11/03/2005","Archives publiques","Versement",NA,NA,"Secrétariat général","5 articles de factures de l'économat.","Support papier","0,5",5,"2005"
139,"Archives municipales d'Avignon","Série Z","31/03/2005","Archives publiques","Dépôt",NA,NA,"Inventaires des musées d'Avignon","Registres (copies) des inventaires des collections des Musées Calvet, Lapidaire, Requien et Petit Palais.","Support papier","1,4",37,"2005"
140,"Archives municipales d'Avignon","105Fi","05/04/2005","Archives privées","Don",NA,NA,"Fonds Willem Kok","862 Tirages photographiques noir et blanc du chantier de Donzère-Mondragon (1947-1953).","Support papier","0,8",862,"2005"
