"ID","nomArch","coteArch","dateEntree","statutJur","modeEntree","servProd","typeProd","activiteProd","descContenu","natureSupport","mlEntree","nbreArt"
6859,"Archives municipales de St Etienne","W","20/12/2007","Archives publiques","Versement",NA,NA,"Dépliants, tracts, affiches, dossiers documentaires sur la ville réalisés par le conservateur M. Achard","Dépliants, tracts, affiches, dossiers documentaires sur la ville réalisés par le conservateur M. Achard","Support papier","21,80",37
6859,"Archives municipales de St Etienne","W","20/12/2007","Archives publiques","Versement",NA,NA,"Dépliants, tracts, affiches, dossiers documentaires sur la ville réalisés par le conservateur M. Achard","Dépliants, tracts, affiches, dossiers documentaires sur la ville réalisés par le conservateur M. Achard","Support électronique","21,80",37
6859,"Archives municipales de St Etienne","W","20/12/2007","Archives publiques","Versement",NA,NA,"Dépliants, tracts, affiches, dossiers documentaires sur la ville réalisés par le conservateur M. Achard","Dépliants, tracts, affiches, dossiers documentaires sur la ville réalisés par le conservateur M. Achard","Support papier","21,80",37
6860,"Archives municipales de St Etienne","S","06/12/2007","Archives privées","Dépôt",NA,NA,"Mon adolescence 1939-1945 : tapuscrit ; ""Fauriel"", bulletin de l'association amicale des anciens élèves du lycée Claude Fauriel de Saint-Etienne (2007).","Mon adolescence 1939-1945 : tapuscrit ; ""Fauriel"", bulletin de l'association amicale des anciens élèves du lycée Claude Fauriel de Saint-Etienne (2007).","Support papier","0,05",1
6861,"Archives municipales de St Etienne","FI","07/12/2007","Archives privées","Don",NA,NA,"18 photographies du quartier Saint-François prises après le bombardement du 26 mai 1944.","18 photographies du quartier Saint-François prises après le bombardement du 26 mai 1944.","Support mixte","0,07",18
6862,"Archives municipales de St Etienne","EL","17/12/2007","Archives publiques","Versement",NA,NA,"Transmission dossiers d'aide légale à la Direction de la Protection Sociale (DPS).","Transmission dossiers d'aide légale à la Direction de la Protection Sociale (DPS).","Support électronique","0,80",6
6863,"Archives municipales de St Etienne","W","17/12/2007","Archives publiques","Versement",NA,NA,"Supports de communication : CDROM, DVD, plaquettes, flyers, agendas, cartes, plans...","Supports de communication : CDROM, DVD, plaquettes, flyers, agendas, cartes, plans...","Support papier","0,40",1
6864,"Archives municipales de St Etienne","W","18/12/2007","Archives publiques","Versement",NA,NA,"1 DVD sur la commémoration du bombardement du 26 mai 1944.","1 DVD sur la commémoration du bombardement du 26 mai 1944.","Support papier","0,05",1
6865,"Archives municipales de St Etienne","S","17/11/2007","Archives privées","Don",NA,NA,"Registres de commandes du lycée Haubtmann (?).","Registres de commandes du lycée Haubtmann (?).","Support papier","0,10",1
6866,"Archives municipales de St Etienne","FI","19/12/2007","Archives privées","Don",NA,NA,"1 photographie de M. Knoblauch.","1 photographie de M. Knoblauch.","Support papier","0,05",1
6867,"Archives municipales de St Etienne","W","03/01/2008","Archives publiques","Versement",NA,NA,"Dossiers d'aides financières (1995-1997) ; statistiques et budgets (1979-2002) ; aides aux personnes handicapées (2000-2006) ; aides au personnel municipal (1997-2003)","Dossiers d'aides financières (1995-1997) ; statistiques et budgets (1979-2002) ; aides aux personnes handicapées (2000-2006) ; aides au personnel municipal (1997-2003)","Support papier","13,50",84
6868,"Archives municipales de St Etienne","S","17/01/2008","Archives privées","Dépôt",NA,NA,"Courrier chrono, dossiers des activités.","Courrier chrono, dossiers des activités.","Support papier","4,00",35
6869,"Archives municipales de St Etienne","EL","10/01/2008","Archives publiques","Versement",NA,NA,"Comptabilité, fiches de classement, fiches salle de lecture","Comptabilité, fiches de classement, fiches salle de lecture","Support papier","2,50",16
6870,"Archives municipales de St Etienne","E","17/01/2008","Archives publiques","Versement",NA,NA,"Registres d'état civil","Registres d'état civil","Support papier","0,60",6
